State,Expenditures
Alabama,2729287
Alaska,1739148
Arizona,2371474
Arkansas,2577080
California,10917924
Colorado,2242409
Connecticut,2684739
Delaware,1526700
Florida,13428305
Georgia,4611662
Hawaii,326197
Idaho,832540
Illinois,10973571
Indiana,2885666
Iowa,2881775
Kansas,1626444
Kentucky,3128637
Louisiana,2405853
Maine,983178
Maryland,4063155
Massachusetts,4252757
Michigan,2374548
Minnesota,2770487
Mississippi,1740323
Missouri,1919832
Montana,865697
Nebraska,1326563
Nevada,1581934
New Hampshire,722165
New Jersey,5106593
New Mexico,986534
New York,7908083
North Carolina,7282563
North Dakota,1438798
Ohio,6177744
Oklahoma,3041014
Oregon,1215250
Pennsylvania,12585991
Rhode Island,535525
South Carolina,3131357
South Dakota,1030133
Tennessee,2319044
Texas,17158017
Utah,1988972
Virginia,5280007
Washington,3352911
West Virginia,1753335
Wisconsin,5208935
Wyoming,1211513
