State,Y2015,Y2016,Y2017
Alabama,2755826,2671445,2729287
Alaska,1937045,2038279,1739148
Arizona,2030890,2434445,2371474
Arkansas,1985608,1990337,2577080
California,10061887,10921716,10917924
Colorado,1983059,2120251,2242409
Connecticut,1895482,2185960,2684739
Delaware,883834,1072692,1526700
District of Columbia,0,0,0
Florida,12045959,12134961,13428305
Georgia,3066272,4457741,4611662
Hawaii,832435,622454,326197
Idaho,968596,846679,832540
Illinois,11143525,11086494,10973571
Indiana,3163214,3058275,2885666
Iowa,2724561,2684469,2881775
Kansas,1809742,1875978,1626444
Kentucky,4369759,3928588,3128637
Louisiana,2548944,2656322,2405853
Maine,944726,1027254,983178
Maryland,3999845,4035907,4063155
Massachusetts,3956124,4339614,4252757
Michigan,1905777,2080100,2374548
Minnesota,3063365,3520404,2770487
Mississippi,1624687,1595250,1740323
Missouri,2129778,1951903,1919832
Montana,1287737,927031,865697
Nebraska,1423662,1624164,1326563
Nevada,916150,1067150,1581934
New Hampshire,660989,630586,722165
New Jersey,5544870,5474496,5106593
New Mexico,1754413,1091758,986534
New York,7379883,7649247,7908083
North Carolina,5845496,6203387,7282563
North Dakota,1762951,1773131,1438798
Ohio,5904609,6186366,6177744
Oklahoma,3070359,2968877,3041014
Oregon,1394004,1718322,1215250
Pennsylvania,12057976,13708835,12585991
Rhode Island,545120,530893,535525
South Carolina,1804560,2255929,3131357
South Dakota,970759,1193412,1030133
Tennessee,2389120,2331652,2319044
Texas,13815594,16124639,17158017
Utah,1302141,1247856,1988972
Vermont,699575,585816,550152
Virginia,4736779,5283275,5280007
Washington,3505081,3262516,3352911
West Virginia,1558467,1746372,1753335
Wisconsin,2994703,1486259,5208935
Wyoming,800364,727654,1211513
